state_name,parameter_code,test_stat,p_value,n_lags
Alabama,42101,-7.2417691647778515,1.8762705050275473e-10,24.0
Alabama,42401,-8.763682772823925,2.6324137896792133e-14,19.0
Alabama,42602,-8.08939574536537,1.391403389162195e-12,12.0
Alabama,44201,-5.813360739424763,4.3491868239361067e-07,28.0
Alaska,42101,-4.13788110213441,0.000837930197873568,26.0
Alaska,42401,-3.55692156432105,0.006640057424589505,20.0
Alaska,42602,-3.309158466434205,0.014474021374306006,21.0
Alaska,44201,-3.9842247225449485,0.0014954055927343286,16.0
Arizona,42101,-4.727266883195463,7.476831850951412e-05,13.0
Arizona,42401,-12.45645906110847,3.482130404479118e-23,9.0
Arizona,42602,-4.238802237904601,0.0005660329380657931,28.0
Arizona,44201,-4.379498062113683,0.00032263808890584724,20.0
Arkansas,42101,-5.534987619853229,1.7529384446203795e-06,14.0
Arkansas,42401,-7.048586095470835,5.602665990862696e-10,19.0
Arkansas,42602,-6.070843238440191,1.1518866558795678e-07,27.0
Arkansas,44201,-5.316184717868574,5.068417468494707e-06,21.0
California,42101,-4.1126722838758285,0.0009228517533948826,17.0
California,42401,-6.176221629885087,6.620730669388434e-08,19.0
California,42602,-3.875935433901859,0.002219262809860616,29.0
California,44201,-4.096551700217996,0.0009813140349167952,19.0
Colorado,42101,-5.189104879528559,9.253729999850068e-06,21.0
Colorado,42401,-3.4344535627946713,0.009838946523378723,29.0
Colorado,42602,-3.519900914136285,0.0074904663080704445,27.0
Colorado,44201,-3.6529306784546964,0.004826106077719717,23.0
Connecticut,42101,-5.445117215779285,2.721396830962395e-06,26.0
Connecticut,42401,-4.272351593210075,0.0004958171725170724,19.0
Connecticut,42602,-4.81165845132741,5.166082526508751e-05,28.0
Connecticut,44201,-4.408784418251205,0.0002863854547876129,24.0
Delaware,42101,-5.166216029530573,1.030125649341578e-05,24.0
Delaware,42401,-4.638365087164955,0.00010969441295764835,29.0
Delaware,42602,-4.4014018029215265,0.0002951415998892776,20.0
Delaware,44201,-3.9594649918027836,0.001638288400211937,26.0
District Of Columbia,42101,-5.722076842599653,6.904308100576417e-07,17.0
District Of Columbia,42401,-3.7851954713499922,0.0030624689713684493,25.0
District Of Columbia,42602,-5.155442733734701,1.0833177210290244e-05,27.0
District Of Columbia,44201,-3.7331990453834374,0.003669686929561256,27.0
Florida,42101,-8.579736653960925,7.786895040499542e-14,13.0
Florida,42401,-5.114356624297538,1.3116458626728679e-05,27.0
Florida,42602,-6.035489187763159,1.3853111997605943e-07,29.0
Florida,44201,-7.6913590809024015,1.4164299440022791e-11,14.0
Georgia,42101,-3.82450495327497,0.002666316272502737,28.0
Georgia,42401,-4.914756705748783,3.263972541011297e-05,27.0
Georgia,42602,-3.259150153818404,0.016806177498043903,29.0
Georgia,44201,-4.938615893613855,2.931535017321603e-05,27.0
Hawaii,42101,-5.385521053297632,3.632637441798424e-06,19.0
Hawaii,42401,-5.266400353087931,6.424923554003972e-06,24.0
Hawaii,42602,-3.975232318239947,0.001545901741328066,27.0
Hawaii,44201,-4.55212379753495,0.0001581219806147549,27.0
Idaho,42101,-6.779752196105514,2.517023541082709e-09,13.0
Idaho,42401,-5.69381975258784,7.958355288016048e-07,28.0
Idaho,42602,-6.828614810992275,1.9191308706548124e-09,13.0
Idaho,44201,-4.995240248899993,2.2679601595423292e-05,15.0
Illinois,42101,-2.8535287314538476,0.051025001258187715,24.0
Illinois,42401,-4.307329832266793,0.00043140712125380455,27.0
Illinois,42602,-5.767906863854172,5.477872893311157e-07,28.0
Illinois,44201,-3.7983329306920144,0.0029244174193430385,29.0
Indiana,42101,-4.900207801497852,3.4841893890403186e-05,27.0
Indiana,42401,-2.863774231719015,0.04972564640508755,27.0
Indiana,42602,-5.975521574912451,1.8915905715804926e-07,28.0
Indiana,44201,-4.095677384695418,0.0009845818448173814,28.0
Iowa,42101,-11.74039086674779,1.2778198478180562e-21,13.0
Iowa,42401,-5.930955829947078,2.3813474957322907e-07,27.0
Iowa,42602,-4.876672883396734,3.870990418906019e-05,28.0
Iowa,44201,-3.9477979372785326,0.0017099250597817385,29.0
Kansas,42101,-4.446728878979687,0.0002451344628964287,26.0
Kansas,42401,-4.470660787244515,0.00022208869866353513,27.0
Kansas,42602,-4.0441256163065535,0.0011962891251834,28.0
