state_name,parameter_code,aic,bic
Alabama,42101,271.46678661259443,284.2885275699336
Alabama,42401,454.14151255414276,466.9632535114819
Alabama,42602,271.4117658097824,280.87086730033553
Alabama,44201,608.6942654142183,621.5160063715575
Alaska,42101,490.2199915191005,503.0417324764397
Alaska,42401,433.9688989927507,445.68792610201916
Alaska,42602,270.300213456022,278.98856154743885
Alaska,44201,523.4639723153825,536.2857132727218
Arizona,42101,191.92214872983766,204.74388968717685
Arizona,42401,584.7308975346781,597.5526384920173
Arizona,42602,455.422250091971,468.2439910493102
Arizona,44201,567.48870493147,580.3104458888092
Arkansas,42101,285.69546546130306,298.5172064186422
Arkansas,42401,287.1857882197734,300.0075291771126
Arkansas,42602,476.215247278533,489.0369882358722
Arkansas,44201,609.1584842903808,621.98022524772
California,42101,219.88392013777832,232.7056610951175
California,42401,57.005704208039575,69.82744516537875
California,42602,435.6627848620355,448.48452581937465
California,44201,550.3809626842349,563.2027036415741
Colorado,42101,198.21292578322056,211.03466674055974
Colorado,42401,433.5103754157586,446.33211637309773
Colorado,42602,396.3277354372108,409.14947639454994
Colorado,44201,556.9398028924593,569.7615438497985
Connecticut,42101,210.63804130561437,223.45978226295355
Connecticut,42401,296.75321058593966,309.5749515432788
Connecticut,42602,481.2533785467366,494.07511950407576
Connecticut,44201,556.5018934812512,569.3236344385904
Delaware,42101,234.06415580174502,246.8858967590842
Delaware,42401,313.4181427817755,326.23988373911465
Delaware,42602,567.8999126694619,580.7216536268011
Delaware,44201,573.1046828919045,585.9264238492437
District Of Columbia,42101,363.0621897129183,375.8839306702575
District Of Columbia,42401,367.7287591961055,380.55050015344466
District Of Columbia,42602,497.1433148002486,509.9650557575878
District Of Columbia,44201,613.1876233463197,626.0093643036589
Florida,42101,174.48666546913086,187.30840642647004
Florida,42401,284.0048484568996,296.82658941423875
Florida,42602,457.615779726161,470.43752068350017
Florida,44201,558.6459474713599,571.4676884286991
Georgia,42101,241.06570827086995,253.88744922820914
Georgia,42401,358.6573731378778,371.47911409521697
Georgia,42602,494.4358405918086,507.25758154914774
Georgia,44201,620.1181225851217,632.9398635424609
Hawaii,42101,325.5484178719464,338.3701588292856
Hawaii,42401,755.8009278006997,768.6226687580389
Hawaii,42602,348.0482440794216,360.86998503676074
Hawaii,44201,506.5667135030981,519.3884544604373
Idaho,42101,320.88650333517893,333.7082442925181
Idaho,42401,485.83999765799837,498.6617386153375
Idaho,42602,364.7533405142768,376.4070072157084
Idaho,44201,530.7405050128833,543.5622459702225
Illinois,42101,219.1020150542921,231.9237560116313
Illinois,42401,339.50098281706084,352.3227237744
Illinois,42602,492.69925391858817,505.52099487592733
Illinois,44201,587.3441696962992,600.1659106536384
Indiana,42101,304.5859779482226,317.40771890556175
Indiana,42401,394.6509010534294,407.47264201076854
Indiana,42602,470.02939459514664,482.8511355524858
Indiana,44201,596.5354134937213,609.3571544510605
Iowa,42101,126.92913071078567,139.75087166812486
Iowa,42401,425.408122081849,438.22986303918816
Iowa,42602,392.10116020234454,404.9229011596837
Iowa,44201,579.5675017927821,592.2839757041321
Kansas,42101,272.3831619231179,285.20490288045704
Kansas,42401,304.2124023112055,317.03414326854465
Kansas,42602,455.8705789411231,468.69231989846224
